ID_hecho,FECHA,VICTIMA,EDAD,FECHA_FALLECIMIENTO
2018-0117,2018-11-04,MOTO,30,2018-11-08
2018-0118,2018-11-05,PEATON,80,2018-11-05
2018-0119,2018-11-05,PEATON,32,2018-11-06
2018-0120,2018-11-09,PEATON,51,2018-11-20
2018-0121,2018-11-09,PEATON,72,2018-11-09
2018-0122,2018-11-12,AUTO,33,2018-11-12
2018-0123,2018-11-12,AUTO,25,2018-11-12
2018-0124,2018-11-15,CARGAS,44,2018-11-15
2018-0125,2018-11-16,PEATON,29,2018-11-17
2018-0126,2018-11-18,MOTO,27,2018-11-23
2018-0127,2018-11-19,MOTO,29,2018-11-19
2018-0128,2018-11-25,AUTO,49,2018-11-25
2018-0128,2018-11-25,AUTO,39,2018-11-25
2018-0129,2018-11-28,MOTO,37,2018-11-30
2018-0130,2018-12-03,MOTO,SD,2018-12-03
2018-0131,2018-12-07,MOTO,29,2018-12-07
2018-0132,2018-12-12,PEATON,70,2018-12-12
2018-0133,2018-12-12,PEATON,60,2018-12-12
2018-0134,2018-12-12,PEATON,56,2018-12-13
2018-0135,2018-12-18,PEATON,80,2018-12-22
2018-0136,2018-12-18,PEATON,70,2018-12-18
2018-0137,2018-12-18,MOTO,29,2018-12-19
2018-0138,2018-12-21,PASAJEROS,79,2018-12-21
2018-0139,2018-12-22,MOTO,28,2018-12-24
2018-0140,2018-12-22,AUTO,78,2018-12-22
2018-0141,2018-12-22,PEATON,75,2018-12-24
2018-0142,2018-12-25,CARGAS,32,2019-01-01
2018-0143,2018-12-29,MOTO,22,2018-12-29
2019-0001,2019-01-08,MOTO,25,2019-01-08
2019-0002,2019-01-09,AUTO,32,2019-01-09
2019-0003,2019-01-12,MOTO,23,2019-01-12
2019-0004,2019-01-14,AUTO,71,2019-01-14
2019-0005,2019-01-19,MOTO,43,2019-01-19
2019-0006,2019-01-23,PEATON,12,2019-01-23
2019-0007,2019-01-26,MOTO,35,2019-01-26
2019-0008,2019-01-30,MOTO,42,2019-01-31
2019-0009,2019-01-31,MOTO,34,2019-01-31
2019-0010,2019-02-02,PEATON,SD,2019-02-02
2019-0010,2019-02-02,PEATON,59,2019-02-02
2019-0011,2019-02-10,PEATON,SD,2019-02-10
2019-0012,2019-02-17,MOTO,31,2019-02-20
2019-0013,2019-02-20,PEATON,39,2019-03-02
2019-0014,2019-02-20,MOTO,69,2019-02-20
2019-0015,2019-02-23,AUTO,21,2019-02-23
2019-0016,2019-02-24,MOTO,40,2019-02-24
2019-0017,2019-03-03,AUTO,22,2019-03-07
2019-0018,2019-03-03,PEATON,29,2019-03-03
2019-0019,2019-03-06,MOTO,SD,2019-03-26
2019-0020,2019-03-07,MOTO,43,2019-03-07
2019-0021,2019-03-15,MOTO,23,2019-03-16
2019-0022,2019-03-15,AUTO,SD,2019-03-15
2019-0023,2019-03-16,AUTO,34,2019-03-16
2019-0024,2019-03-19,MOTO,32,2019-03-19
2019-0025,2019-03-22,PEATON,27,2019-04-04
2019-0026,2019-03-28,PEATON,SD,2019-03-28
2019-0027,2019-03-28,BICICLETA,37,2019-03-28
2019-0028,2019-04-06,PEATON,SD,2019-04-06
2019-0029,2019-04-07,MOTO,27,2019-04-07
2019-0030,2019-04-09,MOTO,25,2019-04-09
2019-0031,2019-04-12,BICICLETA,20,2019-04-12
2019-0032,2019-04-16,PEATON,83,2019-04-18
2019-0033,2019-04-18,MOTO,25,2019-04-18
2019-0034,2019-04-21,MOTO,SD,2019-04-21
2019-0035,2019-04-23,PEATON,75,2019-04-23
2019-0036,2019-04-26,MOTO,34,2019-05-02
2019-0037,2019-05-01,MOTO,17,2019-05-01
2019-0038,2019-05-04,PEATON,42,2019-05-05
2019-0105,2019-05-05,PEATON,82,2019-05-08
2019-0039,2019-05-09,MOTO,28,2019-05-09
2019-0040,2019-05-09,MOTO,44,2019-05-15
2019-0041,2019-05-11,AUTO,78,2019-05-11
2019-0042,2019-05-14,PEATON,39,2019-05-14
2019-0043,2019-05-21,BICICLETA,SD,2019-05-21
2019-0044,2019-05-27,PEATON,77,2019-05-29
2019-0045,2019-06-03,MOTO,33,2019-06-03
2019-0046,2019-06-04,MOTO,26,2019-06-04
2019-0047,2019-06-06,PEATON,76,2019-06-06
2019-0048,2019-06-07,MOTO,32,2019-06-07
2019-0049,2019-06-08,PEATON,72,2019-06-09
2019-0050,2019-06-08,MOTO,21,2019-06-09
2019-0051,2019-06-11,MOTO,41,2019-06-11
2019-0053,2019-06-14,AUTO,49,2019-06-14
2019-0054,2019-06-20,MOTO,21,2019-06-20
2019-0055,2019-06-20,MOTO,47,2019-06-21
2019-0056,2019-06-29,PEATON,75,2019-06-29
2019-0057,2019-07-05,PEATON,63,2019-07-08
2019-0058,2019-07-10,MOTO,39,2019-07-10
2019-0059,2019-07-13,MOTO,30,2019-07-13
2019-0060,2019-07-17,PEATON,78,2019-07-17
2019-0061,2019-07-17,PEATON,58,2019-07-17
2019-0062,2019-08-01,PEATON,60,2019-08-02
2019-0063,2019-08-04,MOTO,SD,2019-08-04
2019-0064,2019-08-06,MOTO,20,2019-08-06
2019-0065,2019-08-08,PEATON,55,2019-08-09
2019-0066,2019-08-11,PEATON,40,2019-08-11
2019-0067,2019-08-14,MOTO,35,2019-08-14
2019-0068,2019-08-14,MOTO,53,2019-08-14
2019-0069,2019-08-17,MOTO,43,2019-08-17
2019-0070,2019-08-22,MOTO,25,2019-08-22
2019-0071,2019-08-27,PEATON,SD,2019-08-27
2019-0072,2019-08-28,AUTO,22,2019-09-02
2019-0073,2019-08-29,AUTO,29,2019-09-06
2019-0074,2019-08-29,MOTO,35,2019-08-29
2019-0075,2019-08-30,MOTO,31,2019-08-30
2019-0076,2019-09-05,MOTO,29,2019-09-05
2019-0077,2019-09-08,PEATON,28,2019-09-08
2019-0078,2019-09-12,PEATON,72,2019-09-15
2019-0079,2019-09-17,MOTO,57,2019-09-17
2019-0080,2019-09-17,PEATON,76,2019-09-17
2019-0081,2019-09-23,PEATON,67,2019-10-07
2019-0082,2019-09-25,BICICLETA,47,2019-09-25
2019-0083,2019-09-26,AUTO,73,2019-09-26
2019-0084,2019-09-27,BICICLETA,40,2019-09-27
2019-0085,2019-10-09,BICICLETA,20,2019-10-09
2019-0086,2019-10-15,MOTO,29,2019-10-15
2019-0087,2019-10-21,MOTO,41,2019-10-21
2019-0088,2019-10-22,PEATON,27,2019-10-22
2019-0089,2019-10-23,PEATON,92,2019-10-23
2019-0090,2019-10-24,PEATON,67,2019-10-26
2019-0091,2019-11-01,PEATON,35,2019-11-01
2019-0092,2019-11-03,PEATON,37,2019-11-03
2019-0093,2019-11-13,BICICLETA,16,2019-11-13
2019-0094,2019-11-18,MOTO,SD,2019-11-18
2019-0095,2019-11-20,MOTO,SD,2019-11-20
2019-0096,2019-11-22,PEATON,73,2019-11-22
2019-0097,2019-11-25,MOTO,23,2019-11-25
2019-0098,2019-11-25,PASAJEROS,61,2019-11-29
2019-0100,2019-12-05,MOTO,38,2019-12-18
2019-0101,2019-12-17,MOTO,25,2019-12-17
2019-0102,2019-12-17,MOTO,18,2019-12-18
2019-0103,2019-12-18,MOTO,24,2019-12-18
2019-0104,2019-12-21,MOTO,23,2019-12-22
2020-0001,2020-01-04,PEATON,87,2020-01-04
2020-0002,2020-01-05,MOTO,36,2020-01-07
2020-0003,2020-01-11,PEATON,44,2020-01-11
2020-0004,2020-01-14,PEATON,82,2020-01-15
2020-0005,2020-01-14,MOTO,25,2020-02-10
2020-0006,2020-01-20,MOTO,23,2020-01-20
2020-0007,2020-01-27,PEATON,52,2020-01-27
2020-0008,2020-01-30,MOTO,49,2020-01-30
2020-0009,2020-02-04,PEATON,48,2020-02-05
2020-0010,2020-02-08,MOTO,SD,2020-02-08
2020-0011,2020-02-12,MOTO,31,2020-02-12
2020-0012,2020-02-18,PEATON,66,2020-02-18
2020-0013,2020-02-20,PEATON,58,2020-03-03
2020-0014,2020-02-27,MOTO,SD,2020-02-27
2020-0015,2020-02-28,MOTO,29,2020-02-28
2020-0016,2020-02-29,PEATON,68,2020-03-09
2020-0017,2020-03-05,PEATON,SD,2020-03-05
2020-0018,2020-03-09,MOTO,31,2020-03-09
2020-0019,2020-03-10,PEATON,80,2020-03-10
2020-0020,2020-03-13,PEATON,74,2020-03-17
2020-0021,2020-03-14,PEATON,87,2020-03-14
2020-0022,2020-04-07,AUTO,44,2020-04-07
2020-0023,2020-04-09,AUTO,44,2020-05-03
2020-0024,2020-04-24,AUTO,53,2020-04-24
2020-0025,2020-05-12,PEATON,SD,2020-05-12
2020-0026,2020-05-17,MOTO,28,2020-05-17
2020-0027,2020-05-18,PEATON,76,2020-05-18
2020-0028,2020-05-19,PEATON,91,2020-05-23
2020-0029,2020-06-10,PEATON,80,2020-06-12
2020-0030,2020-06-16,MOTO,40,2020-06-16
2020-0031,2020-06-30,MOTO,29,2020-06-30
2020-0032,2020-07-10,MOTO,21,2020-07-10
2020-0033,2020-07-19,AUTO,32,2020-07-19
2020-0034,2020-08-02,PEATON,SD,2020-08-02
2020-0035,2020-08-04,MOTO,40,2020-08-04
