ID,FECHA,VICTIMA,EDAD,FECHA_FALLECIMIENTO,RANGO_ETARIO
2018-0136,2018-12-18,PEATON,70.0,2018-12-18,61+
2018-0137,2018-12-18,MOTO,29.0,2018-12-19,19-30
2018-0138,2018-12-21,PASAJEROS,79.0,2018-12-21,61+
2018-0139,2018-12-22,MOTO,28.0,2018-12-24,19-30
2018-0140,2018-12-22,AUTO,78.0,2018-12-22,61+
2018-0141,2018-12-22,PEATON,75.0,2018-12-24,61+
2018-0142,2018-12-25,CARGAS,32.0,2019-01-01,31-45
2018-0143,2018-12-29,MOTO,22.0,2018-12-29,19-30
2019-0001,2019-01-08,MOTO,25.0,2019-01-08,19-30
2019-0002,2019-01-09,AUTO,32.0,2019-01-09,31-45
2019-0003,2019-01-12,MOTO,23.0,2019-01-12,19-30
2019-0004,2019-01-14,AUTO,71.0,2019-01-14,61+
2019-0005,2019-01-19,MOTO,43.0,2019-01-19,31-45
2019-0006,2019-01-23,PEATON,12.0,2019-01-23,0-18
2019-0007,2019-01-26,MOTO,35.0,2019-01-26,31-45
2019-0008,2019-01-30,MOTO,42.0,2019-01-31,31-45
2019-0009,2019-01-31,MOTO,34.0,2019-01-31,31-45
2019-0010,2019-02-02,PEATON,,2019-02-02,
2019-0010,2019-02-02,PEATON,59.0,2019-02-02,46-60
2019-0011,2019-02-10,PEATON,,2019-02-10,
2019-0012,2019-02-17,MOTO,31.0,2019-02-20,31-45
2019-0013,2019-02-20,PEATON,39.0,2019-03-02,31-45
2019-0014,2019-02-20,MOTO,69.0,2019-02-20,61+
2019-0015,2019-02-23,AUTO,21.0,2019-02-23,19-30
2019-0016,2019-02-24,MOTO,40.0,2019-02-24,31-45
2019-0017,2019-03-03,AUTO,22.0,2019-03-07,19-30
2019-0018,2019-03-03,PEATON,29.0,2019-03-03,19-30
2019-0019,2019-03-06,MOTO,,2019-03-26,
2019-0020,2019-03-07,MOTO,43.0,2019-03-07,31-45
2019-0021,2019-03-15,MOTO,23.0,2019-03-16,19-30
2019-0022,2019-03-15,AUTO,,2019-03-15,
2019-0023,2019-03-16,AUTO,34.0,2019-03-16,31-45
2019-0024,2019-03-19,MOTO,32.0,2019-03-19,31-45
2019-0025,2019-03-22,PEATON,27.0,2019-04-04,19-30
2019-0026,2019-03-28,PEATON,,2019-03-28,
2019-0027,2019-03-28,BICICLETA,37.0,2019-03-28,31-45
2019-0028,2019-04-06,PEATON,,2019-04-06,
2019-0029,2019-04-07,MOTO,27.0,2019-04-07,19-30
2019-0030,2019-04-09,MOTO,25.0,2019-04-09,19-30
2019-0031,2019-04-12,BICICLETA,20.0,2019-04-12,19-30
2019-0032,2019-04-16,PEATON,83.0,2019-04-18,61+
2019-0033,2019-04-18,MOTO,25.0,2019-04-18,19-30
2019-0034,2019-04-21,MOTO,,2019-04-21,
2019-0035,2019-04-23,PEATON,75.0,2019-04-23,61+
2019-0036,2019-04-26,MOTO,34.0,2019-05-02,31-45
2019-0037,2019-05-01,MOTO,17.0,2019-05-01,0-18
2019-0038,2019-05-04,PEATON,42.0,2019-05-05,31-45
2019-0105,2019-05-05,PEATON,82.0,2019-05-08,61+
2019-0039,2019-05-09,MOTO,28.0,2019-05-09,19-30
2019-0040,2019-05-09,MOTO,44.0,2019-05-15,31-45
2019-0041,2019-05-11,AUTO,78.0,2019-05-11,61+
2019-0042,2019-05-14,PEATON,39.0,2019-05-14,31-45
2019-0043,2019-05-21,BICICLETA,,2019-05-21,
2019-0044,2019-05-27,PEATON,77.0,2019-05-29,61+
2019-0045,2019-06-03,MOTO,33.0,2019-06-03,31-45
2019-0046,2019-06-04,MOTO,26.0,2019-06-04,19-30
2019-0047,2019-06-06,PEATON,76.0,2019-06-06,61+
2019-0048,2019-06-07,MOTO,32.0,2019-06-07,31-45
2019-0049,2019-06-08,PEATON,72.0,2019-06-09,61+
2019-0050,2019-06-08,MOTO,21.0,2019-06-09,19-30
2019-0051,2019-06-11,MOTO,41.0,2019-06-11,31-45
2019-0053,2019-06-14,AUTO,49.0,2019-06-14,46-60
